batch,kla,rb,se_rb,t,r2,ok,n
1.1 (1min),0.031703637969926854,0.00028668638093156534,0.000842273003732238,0.34037227794457975,0.25761942866732923,False,47
2.1 (5min),0.054301842179257515,-0.004982888655305781,0.003081197608589326,1.6171921727497096,0.2606126328710865,False,25
3.1 (10min),0.09646083884085958,0.0025743882543697097,0.0009293500494784431,2.770095354075111,0.27935544151214553,True,37
