null_two_step,null_joint
0.013021632685135062,0.0035842706491320585
0.021613763284543494,0.0036520789226565814
0.017303790124798987,1.0208157390933553e-13
0.011199220042856535,0.0016485832348906663
0.02029384762478369,0.0
0.023719815251798296,0.001176717758968717
0.024481752963217,0.0
0.020838951924084567,0.0013454269426287067
0.01648291566756604,0.003537432228303955
0.016839402165334208,0.007487729941104701
0.022074357428212465,0.005144461644420362
0.012115448535496677,0.0043388546971593125
0.03035545160884716,0.0
0.024158301621859602,0.0
0.02037845714366247,0.001871933065113508
0.021439374487538795,3.3246965655425254e-14
0.023731981574092224,0.0023683493494810297
0.024018305691195195,1.7997460296806463e-15
0.016849911314813545,0.0
0.024892965266543256,0.0017846564406437788
0.02464371663104469,0.0
0.023847206164025546,9.783913049027875e-14
0.022400555876197194,0.0037596285667481468
0.020564294512322775,0.0
0.01991348383639382,0.0
0.01680163104185177,0.0
0.022644515079240476,0.00012885140398676405
0.026104955165159593,0.0
0.014629974054649827,1.9945340683297552e-15
0.024980389273036176,2.5434228826998576e-14
0.016934915093210115,0.0
0.01873530614164822,0.0047215900073526015
0.010940174206148175,2.1365233319722925e-14
0.029975040389195,0.0
0.019834159985598947,0.0025221493679901826
0.016865410140532684,0.0
0.026575877488292543,2.507775742968425e-15
0.011290660714131649,0.0031744901107647397
0.01361145512932876,0.006274093310204554
0.012665589811705307,0.0
0.00840773471013774,0.0009544719245315725
0.02240414017084089,0.0
0.01465285981169726,0.0024821748612952844
0.029350298980184746,0.0
0.02620349630635047,1.2647775242710432e-13
0.01395847895119321,0.004346267211014301
0.0033689447797766235,1.4711055585958769e-15
0.01721275803321366,0.0014672317262352554
0.021161238087862633,0.0009826819086987725
0.022626283162786715,0.0
0.01288025380884059,0.0009610293433262378
0.01164285121639859,2.5001977045482315e-15
0.025680660434993976,0.0008153441388640853
0.014166669107795602,0.0
0.014445814328461207,0.0008724957693403005
0.026854817191284144,2.977366750327244e-13
0.02623323451174937,6.663091877787515e-15
0.020274013783113845,0.00019474050539914666
0.011298438656789176,1.451601874183971e-14
0.021312376016881688,0.004252038129359057
0.01352123536651309,0.0052000573076727424
0.023011699590011633,4.636704933354224e-16
0.015121791215898194,0.0017410842570978313
0.014387105728201661,0.006309882708956287
0.015016143140397335,0.0
0.023675481612168658,0.0
0.015575030147018788,0.005303846403742484
0.01871396345825994,0.0034687175518371078
0.02283280776042956,6.242839568030015e-14
0.01758270539511226,0.0
0.026570089408722547,0.0
0.022973353771040872,0.0032815637289477276
0.016273054777367978,0.002245466883289691
0.01276942275924373,0.004708812898367663
0.019724912248731977,0.0025025255763505517
0.022015796567905394,0.0019156568761380926
0.021263886457665384,0.0047357940690844515
0.024378404146440515,0.00032432335936443107
0.010658957343543584,0.0021546047712768857
0.015050983658414875,0.0039270022978459915
0.02505974006497231,0.0
0.021000854207001755,0.002251493838204462
0.013390346855964848,0.004179722413382898
0.02092289479756549,1.7892227497507994e-15
0.014086150109633608,0.0
0.020651349240918736,4.228734606932795e-13
0.02495762374355292,0.0
0.017702527289668424,0.0014239911729421791
0.025437819671566043,0.0
0.013244561399591188,0.00026992239393279873
0.025716773494869807,3.546751880361627e-15
0.019953897738042063,0.0
0.009761339403423585,0.0007739458121066615
0.009832333258236412,0.004131384104041227
0.017320963074537565,0.0013128737280484655
0.01286703134950925,0.002216264286949994
0.02429475081801988,0.0019503517331725313
0.022391973591171135,0.0034261354782190497
0.01308683498510896,0.0038299581299918754
0.013223140593191473,0.0011723963308681955
0.015321388082776563,0.0023049962135357925
0.023464201869596957,1.7173807823558106e-12
0.025348580898275592,0.0
0.015083163812742221,0.004923102882417995
0.016466306450105793,0.0018327472431691862
0.011796637844112957,0.0006785064673569853
0.023901876363475995,8.486152164478138e-15
0.012828812833585782,0.0038370770380714843
