batch,tau,hours,n_cyc,p_ch4_ini,p_ch4_end,p_ch4,total_removed,bio_removed,phys_removed,bio_share,rb,rb_co2,rd
1.1 (1min),1.0,114.485,6,0.11200500000000001,0.343294,0.23128899999999997,1.7799999999999991,0.9251559999999999,0.8548439999999993,0.519750561797753,0.008081023714897146,0.0020202559287242866,0.007466864654758259
2.1 (5min),5.0,71.69638888888889,8,0.10194960000000002,0.3532776,0.251328,2.8099999999999987,1.005312,1.8046879999999987,0.35776227758007134,0.014021794062152518,0.0035054485155381295,0.025171253782346064
3.1 (10min),10.0,95.96666666666667,12,0.09797650000000001,0.4140448,0.31606829999999997,3.4499999999999984,1.2642731999999999,2.1857267999999985,0.3664560000000001,0.01317408683570684,0.00329352170892671,0.022775895797151773
