batch,tau,kLa,phys,bio,share
1.1 (1min),1.0,0.03843490648639361,0.005558379281318866,0.011038849949434663,0.6651019755141075
2.1 (5min),5.0,0.14886624187122727,0.021528738070372595,0.011038849949434663,0.33895202625140525
3.1 (10min),10.0,0.16729997686314324,0.02419458794547665,0.011038849949434663,0.3133060697159212
