H,rmse,persistence,gain,n
15,0.01052984378436335,0.012593831866979599,1.1960131721689202,10692
30,0.011365850301281632,0.017859384417533875,1.5713196940065295,10302
60,0.009775497932490083,0.02784457989037037,2.8484052764028975,9522
120,0.014646671829266615,0.05322718247771263,3.6340803629774374,7962
240,0.02347344907573105,0.09595292806625366,4.087721738577327,4842
