batch,tau,kLa,rb,phys,bio_share
1.1 (1min),1.0,0.056633150263903184,0.0007384866919447642,0.017502651498395916,0.040484682712168624
2.1 (5min),5.0,0.09607823954039006,0.0034652067852781066,0.02969327920870901,0.10450437290491729
3.1 (10min),10.0,0.1052407889875747,0.006435384029799826,0.03252499365622949,0.16517766027990718
