batch,b_in,se_in,t_in,b_bat,se_bat,t_bat,p_perm,n
1.1 (1min),0.001283608220734695,0.00013472133821247138,9.527876116478994,4.909084034811418e-05,1.9098444654457378e-05,2.5704103782428636,0.0,54
2.1 (5min),0.006240534479568131,0.0019197547635324058,3.2506935771761607,0.00015966471993211185,4.78140522286412e-05,3.339284425603876,0.0008,38
3.1 (10min),0.0037747118085484717,0.0016023688582814063,2.3557071700688037,7.069855891823193e-05,5.952680284496633e-05,1.187676064215337,0.014,54
合併,0.0018270477901223266,0.0004929403397125875,3.7064278228631085,8.786042417686261e-05,2.908402410190248e-05,3.02091704603956,,146
