batch,tau,n,n_cyc,rmse1,rmse_bi,rmse2,cv1,cv2,aicc1,aicc_bi,aicc2,kla,k_b,c_sat,f,m0,lam,bio,sane
1.1 (1min),1.0,4674,6,0.010703997144789649,0.009505952915977013,0.009578079988195818,0.01217890816360335,0.010971163583396538,-42409.16385073887,-43514.75621259318,-43442.091067018344,1.9999999999999694,0.016605181679033933,0.6501732583545631,0.45828818033233937,3.5317547353755074e-15,0.06642072671613573,1.3178679950968575,False
2.1 (5min),5.0,3301,8,0.015621364196249475,0.012372862849478385,0.01352833788857029,0.017447519047486895,0.01488731927076297,-27454.478885420212,-28989.62028097256,-28398.181086717967,1.9999999999999294,0.03901401473002422,0.7267588334125837,0.3881539847154693,3.075107257467367e-15,0.15605605892009689,1.2073905567160759,False
3.1 (10min),10.0,4667,12,0.01599998121814235,0.01569654103467012,0.01560957411295731,0.016753133621551567,0.017158294069686143,-38593.653024606996,-38768.366763461294,-38818.2214338118,2.0,0.02607853153090322,0.5893944936553319,0.4903567524563259,7.764555909592905e-14,0.10431412612361288,1.123244807644942,False
