batch,n,b_in,se_in,t_in,p_perm,b_bat,se_bat,t_bat
1.1 (1min),108,0.0006559304331467783,0.0002652192184076422,2.4731632838862097,0.014597080583883223,3.558837068456286e-05,5.9944476110413655e-06,5.936889100342039
2.1 (5min),144,0.0016360468884959439,0.000596252059777779,2.7438846737161673,0.0013997200559888023,0.00012754701197247338,1.849747761187652e-05,6.895373231352384
3.1 (10min),216,0.0013747290410525885,0.000821498090524102,1.6734415538026806,0.002999400119976005,0.00011623838122694397,1.7313648536697674e-05,6.71368492785142
合併三批,468,0.003230835018552712,0.0002518576515058722,12.828020110706793,0.0001999600079984003,5.9875315805944457e-05,1.3226886810838313e-05,4.526788250496081
