bin,frac_lo,frac_hi,rmse,n
0,0.0684931506849315,0.27298850574712646,0.010428403626867852,1905
1,0.27315914489311166,0.423728813559322,0.011087766037583524,1905
2,0.42379958246346555,0.5741626794258373,0.009628582796909545,1903
3,0.5742009132420092,0.7245989304812834,0.009437996286222048,1904
4,0.7248803827751196,0.930365296803653,0.008019966568324046,1905
