batch,ph_range,ph_steps,orp_range,p_range,p_steps
1.1 (1min),0.08999999999999986,8.999999999999986,162.5,0.2499999999999999,24.99999999999999
2.1 (5min),0.06999999999999984,6.999999999999984,153.5,0.23999999999999988,23.999999999999986
3.1 (10min),0.08000000000000007,8.000000000000007,188.0,0.2499999999999999,24.99999999999999
