held,f,S,pred,anchor,rel_err_pct
1.1 (1min),0.10760516375036332,10.0,0.6558760720619153,0.9251559999999999,-29.10643479997801
2.1 (5min),0.10909932327366573,10.0,0.8429515103699748,1.005312,-16.15025878831896
3.1 (10min),0.1384259708966882,10.0,1.7621757082630118,1.2642731999999999,39.382509117729626
