kLa,kLa_se,inter,r,p,n,batch,tau
0.04850241905955808,0.006324157533578353,0.033294086404269035,-0.7285386509433267,4.2521849660855286e-10,54,1.1 (1min),1.0
0.11730602272284306,0.016284258000907045,0.09313869785485637,-0.7683806224977665,1.7778500825273554e-08,38,2.1 (5min),5.0
0.09928258678988368,0.015914847388923913,0.0716163468596244,-0.65425591819874,8.076525016499978e-08,54,3.1 (10min),10.0
