batch,tau,cycle,start,phi,nernst_r2,orp_hours,p_h2_0,r_h2,r_b_orp,hours,drop_rate
1.1 (1min),1.0,1,2026-07-23 14:50:57,0.06376060681646345,0.11622615012684057,11.9925,0.9074914777152765,0.05786220729989515,0.014465551824973787,11.9925,0.020012507817385856
1.1 (1min),1.0,2,2026-07-24 03:50:32,0.06686597947514389,0.11816597848935806,11.992222222222223,0.8664490508317138,0.057935964449171276,0.014483991112292819,11.992222222222223,0.01917909756323542
1.1 (1min),1.0,3,2026-07-24 16:50:07,0.0674064372157914,0.3210996532224787,12.992777777777778,0.8323707707152626,0.056107148096478245,0.014026787024119561,12.992777777777778,0.018471800572967878
1.1 (1min),1.0,4,2026-07-25 06:49:43,0.050641465457890444,0.2307105316918101,13.994166666666667,0.7863566580631559,0.03982225353688748,0.00995556338422187,13.994166666666667,0.017150002977431064
1.1 (1min),1.0,5,2026-07-25 21:50:25,0.00010000000000000449,-4.788685552026273e-05,14.878055555555555,0.7698530698490249,7.698530698490594e-05,1.9246326746226486e-05,14.878055555555555,0.01613114019529134
1.1 (1min),1.0,6,2026-07-26 12:50:07,0.04004999036783277,0.1511749918503883,13.19361111111111,0.7563940093846946,0.03029357279014343,0.007573393197535858,14.995,0.016005335111703895
2.1 (5min),5.0,1,2026-07-27 16:10:30,0.1343990758775915,0.02793866947298773,4.803611111111111,0.9399067427683887,0.12632259763918854,0.031580649409797136,6.271388888888889,0.04464720733489833
2.1 (5min),5.0,2,2026-07-27 22:27:47,0.12483896377879244,0.23637830098562174,6.288055555555555,0.8919905447020879,0.1113551753010893,0.027838793825272323,6.955277777777778,0.0345061703742162
2.1 (5min),5.0,3,2026-07-28 05:27:06,0.11372092902224706,0.4283387508164137,6.688055555555556,0.8696430560351088,0.09889661625005863,0.02472415406251466,6.971388888888889,0.03442642546917957
2.1 (5min),5.0,4,2026-07-28 12:27:23,0.11534899201631364,0.056685679965189806,5.620277777777778,0.8580216253547119,0.09897192961286512,0.02474298240321628,6.021111111111111,0.03985975272190439
2.1 (5min),5.0,5,2026-07-28 19:26:42,0.18577555119126082,0.5781222095072027,5.2875,0.8245447342815142,0.153180252493,0.03829506312325,7.005,0.034261241970021394
2.1 (5min),5.0,6,2026-07-29 03:25:04,0.17488432883544083,0.21206930548616776,5.5377777777777775,0.8089285753640567,0.14146893097835236,0.03536723274458809,7.0552777777777775,0.03685184456080947
2.1 (5min),5.0,7,2026-07-29 11:25:25,0.17198432885894394,0.21736699516851077,5.771111111111111,0.7714714591246938,0.13268100113139067,0.03317025028284767,7.021388888888889,0.034181271511650894
2.1 (5min),5.0,8,2026-07-29 19:25:45,0.1234262287730971,0.3240016097455929,8.0225,0.7380940467888488,0.0911001646750215,0.022775041168755374,8.0225,0.0299158616391399
3.1 (10min),10.0,1,2026-07-30 15:16:35,0.16778986443048782,0.3362941060951705,5.937222222222222,0.9227894544377604,0.15483471745799562,0.038708679364498906,5.937222222222222,0.04210723308692803
3.1 (10min),10.0,2,2026-07-30 21:16:50,0.124797872622847,0.21391545502718123,6.087777777777778,0.8918420009184059,0.11129998443032021,0.027824996107580054,6.087777777777778,0.04106588793575468
3.1 (10min),10.0,3,2026-07-31 04:13:08,0.15030174528283796,0.2858537590250053,5.987777777777778,0.8787092588594355,0.1320715352027622,0.03301788380069055,6.004444444444444,0.04163582531458177
3.1 (10min),10.0,4,2026-07-31 10:14:23,0.15163168953679812,0.196553891618246,6.003888888888889,0.856113522544987,0.12981393985879608,0.03245348496469902,6.003888888888889,0.043305265105949835
3.1 (10min),10.0,5,2026-07-31 16:15:38,0.14588442664739384,0.22630617227561467,6.054166666666666,0.8501240816917932,0.12401986423674946,0.031004966059187365,6.054166666666666,0.044597384721266335
3.1 (10min),10.0,6,2026-07-31 23:13:54,0.15334365861158758,0.22199978547004617,6.038333333333333,0.8046283867928188,0.12338466065355044,0.03084616516338761,6.038333333333333,0.039746066795473343
3.1 (10min),10.0,7,2026-08-01 05:22:12,0.09137866343411515,0.1518612159190036,5.870555555555556,0.7947168108486473,0.0726201599839719,0.018155039995992973,6.904722222222222,0.03765538882407368
3.1 (10min),10.0,8,2026-08-01 12:17:31,0.12891870025900962,0.29618582763592116,6.938055555555556,0.777517793213958,0.10023658332939687,0.02505914583234922,6.938055555555556,0.036033150498458566
3.1 (10min),10.0,9,2026-08-01 19:14:50,0.1387091652310696,0.26560513141819997,7.0552777777777775,0.7568801388838854,0.10498621224455977,0.026246553061139943,7.0552777777777775,0.035434465923855255
3.1 (10min),10.0,10,2026-08-02 02:24:08,0.1571677045468944,0.32316608167669847,5.987777777777778,0.7427083763278597,0.11672977065520072,0.02918244266380018,6.872222222222222,0.036378334680679046
3.1 (10min),10.0,11,2026-08-02 10:13:31,0.13900515501927882,0.2446495540499728,7.0725,0.7130827240711167,0.09912217460107521,0.024780543650268803,7.089166666666666,0.035265075819913
3.1 (10min),10.0,12,2026-08-02 18:13:54,0.1246591490814591,0.22490636615577864,7.989722222222222,0.6930650689946094,0.08639690175895075,0.021599225439737687,7.989722222222222,0.03254180718283905
